id,filename,speaker,tags,transcription
269,CUTIE%20PANTS.mp3,cat,"cutie pants, cat","bring it over here, cutie pants"
270,Cal%20May%20=%20Heyward.wav,cal may,"cal may, calvin, heyward",what did your grandma think?
271,Cal%20May%20with%20Another%20Terrible%20Question%20to%20Brandon%20Moss.mp3,cal may,"cal may, brandon moss",were you surprised on how far the homerun went?
272,Charlie%20Wants%20To%20Marry%20Doug.mp3,charlie,"married, wife","doug was never going to leave his wife for me, so I figured I might as well marry a woman"
273,DA%20RAIDERS.mp3,charlie,"raiders, berman",da raiders!
274,DAMN%20COLD.wav,doug,cold,so damn cold!
275,DAMN%20GINA.wav,tim,gina damn,damn gina!
276,DAMN%20JANIE.mp3,tim,janie damn,damn janie!
277,DAMNIT%20WEEZER.wav,tim,damn weezer,damnit weezer!
278,DAN%20MARSHALL-WOMEN%20STATION.mp3,dan marshall,"dan marshall, the woman 1380",the woman station was just something that hit me like a bolt of lightening 
279,DANCE%20LTD.mp3,doug,dance,"did you dance like the dickens, did you?"
280,DEALS%20A%20DEAL.mp3,plowboy,deals,deals a deal
281,DECATUR.wav,unknown man,decatur,"decatur, I hardly know her"
282,DARN%20SERIOUS%20JOURNALISM.wav,dougq,"journalism, 4fox, kmov",I thought it was darn serious journalism
283,DARN%20TOOTIN.wav,cat,darn tootin,you're darn tootin
284,DAY%20BY%20DAY.wav,plowboy,day by day plowboy,I just uh live day by day buddy
285,DAY'S%20WORK%20DOUGIE.wav,unknown man,days work,"all in a days work, dougie"
286,DECENT%20QUESTIONS.wav,unknown man,decent questions,do you guys have any decent questions?
287,DEEP%20AND%20SOFT%20KISSING.mp3,tim,"kissing, lesbian, soft",are you engaging in a lot of deep and soft kissing right now?
288,DEEP%20KISSING.mp3,jay jy,"kissing, #fff",do you like deep kissing or soft kissing?
289,DEEP%20TEASE.mp3,tim,"testical, deep tease","and coming up, one of our board operators is going to sell one of his testicals for $40,000!"
290,DEEP%20THOUGHTS%20MY%20JAM.mp3,unknown woman,"bachelorette bachelor, deep thoughts",deep intelectual things are just my jam
