id,filename,speaker,tags,transcription
55,AWYEASURE.wav,willy,"sure, yea ",awwww yea sure!
56,AWFULCOUGH.wav,cat,"cough, sick",*cough cough*
57,Anthracite.mp3,willy,"grey, anthracite, jerseys, mizzou football","wheres the grey, wheres the anthracite"
58,AskFixings.wav,stevie janowski,"fixins, kenny power, eastbound and down",
59,BABEINWOODS.mp3,bull,"bull, babe","youre just a babe in the woods, my friend"
60,BACHELORTATOO.mp3,unknown woman,"bachelor, bachelorette, tattoo",my tattoo says you cant someone love someone else until you truly love yourself
61,BACKDOOR.wav,plowboy,"backdoor, plowboy",my backdoor doesnt open
62,BACKTOYOUTIM.mp3,tom,"tom, salt and smoke",back to you tim
63,BACKTOYOU.mp3,doug,"news, broadcast, television, steve","thatll do it.  Back to you, Steve"
64,BACKGROUNDCHECKSFORDOUG.mp3,tj moe,"tj moe, child, molest",im afraid if doug comes to join Im may have to  do backround checks because the child molestors will come with him
65,BACKINGMYASSINTOYOU.mp3,tim,"back, ass",backing my ass into you
66,BADANDBUTTUGLY.wav,doug,"bad, ugly","were very bad, and butt ugly"
67,BADBATCH.wav,doug,"bad, batch",you got a bad batch.  Tim: I got a bad batch
68,BADFORCOLON.mp3,"cat, doug",colon,"cat: I think its bad for your colon. Doug: I suspect it is, things get stuffed up in there"
69,BADASSATABBQ.mp3,unknown,bbq,I wanna be the baddest ass at the bbq
70,BALLOONPARTY.wav,joe strauss,"party, balloon",lets have a balloon party
71,BALLSDIFFERENT.wav,doug,"balls, different",maybe the balls are a little bit different?!
72,BANGDOUGONSIDE.mp3,tim,"bang, sidepiece ",you can still bang doug on the side
73,BANGWEATHERGUY.mp3,tim,"banged, little rock, weather guy",I banged the weather guy down in little rock
74,BANGYOURIGHTNOW-IGGY.mp3,iggy,"iggy, bang",I would bang you right now if you let me
75,BANGINGEVERYTHING.mp3,jay jr,"banging, jennings",bangin everything left and right
76,BAREBACK.mp3,tim,bareback,depends on if you go bareback
77,BASEBALLINSIDERS.mp3,cat,"baseball insiders, sfw",were pure baseball insiders
78,BATWINGSEASON.wav,tim,batwing season,batwing season is upon us
79,BATWING.wav,tim,batwing,can you see my batwing today?
80,BATHROBE.wav,jeff abeln,"bathrobe, p diddy",I went with like a white pdiddy bathrobe
81,BEAKER.wav,willy,"beaker, kansas",beaker!
82,BEARCLAWS.wav,charlie,"bearclaws, charlie","I used to eat bearclaws, two at a time"
83,BEDNBREAKFAST.mp3,cat,bed n breakfast,bed and breakfast?  Thats the way.no
84,BEGGINGFORFOOD.mp3,charlie,"suck, food, begging","ugh these guys suck, begging for food already"
85,BEINGAGOODBOTTOM.mp3,tim,"bottom, bottoming","its like being a bottom, a really good bottom, youre used to is"
86,BEINGAROUSED.mp3,charlie,"guy, aroused",guy being aroused
87,BEINGWITHAGENTLEMAN.mp3,unknown man,gentleman,"well it started as that, and it turned into just being with a gentleman"
88,BELLS.wav,sound effect,"winner, email of day winner",*email of day winner bells*
89,BERMAN.mp3,charlie,chris berman,*berman like noise*
90,BESTINTHEWORLDATWHATIDO-LARRY.mp3,larry,"best, larry, lawrence, nickel","yea, Im the best in the world at what I do"
91,BESTSEX-TIMBERFAKE.mp3,timberfake,"sex, timberfake, playbaby",thats the best sex that Ive ever had though
92,BESTTHINGYOU'VEEVERSAID.mp3,charlie,"best thing, charlie, agreement, sfw",that would be the best thing youve ever said
93,BETTERTHANCHICAGO.mp3,cat,"chicago, sfw",were better than chicago
94,BETTERTHANDOUG.mp3,caller adam,"doug, savard, kmov","doug youre nothing but a talking head, savards better than you, shut up"
95,BFIBCHECKIN.wav,joe strauss,"bfib, best fans, strauss",the bfib check in
96,BFIBWAVE.mp3,unknown man,"bfib, wave","the waves horrible, the bfibs love it!"
97,BIGBALLS.wav,willy,"balls, willy","oh, theyre big balls"
98,BIGBIGPROBLEM.mp3,doug,big problem,"they have a big, big problem with that one"
99,BIGBOOBS-ADAM.mp3,caller adam,"boobs, caller adam, big boobs",she has real big boobs
100,BIGBOYS=GRETZKY.mp3,wayne gretzky,"big boys, wayne gretzky",theres some big boys out there
101,BIGISSUES.mp3,unknown man,"big issues, sit in corner",doug just go sit in a corner and pretend these arent big issues
